Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
JERD,JERD,,Journal of Esthetic and Restorative Dentistry,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JERE,JERE,,The Japanese Economic Review,R-To be sold/Transfrd,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JER3,JERD,,Journal of Esthetic and Restorative Dentistry     (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JER4,JERE,,The Japanese Economic Review,R-To be sold/Transfrd,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JES,JES,,Jnl of Engineering Sciences,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JET,JET,,Journal of Experimental Therapeutics and Oncology,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JET2,JET,,Journal of Experimental Therapeutics and Oncology,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JEU,JEU,,The Journal of Eukaryotic Microbiology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JEU2,JEU,,"Journal of Eukaryotic Microbiology, The           (Electronic)",P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JEZ,JEZ,JEZ-AB,Journal of Experimental Zoology Part A:           Ecological and Integrative Physiology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JEZ.B,JEZB,JEZ-AB,Journal of Experimental Zoology Part B             Molecular and Developmental Evolution,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JEZ2,JEZ,JEZ-AB,Journal of Experimental Zoology Part A:            Ecological Genetics and Physiology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JEZ5,JEZB,JEZ-AB,Journal of Experimental Zoology Part B             Molecular and Developmental Evolution,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFB,JFB,,Journal of Fish Biology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JFBC,JFBC,JFBC,Journal of Food Biochemistry,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFB2,JFB,,Journal of Fish Biology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JFB3,JFBC,JFBC,Journal of Food Biochemistry (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFCJ,JFCJ,,Juvenile and Family Court Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JFC3,JFCJ,,Juvenile and Family Court Journal (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JFD,JFD,,Journal of Fish Diseases,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFDS,JFDS,,Journal of Food Science,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JFD2,JFD,,Journal of Fish Diseases (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFD3,JFDS,,Journal of Food Science (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JFIR,JFIR,,The Journal of Financial Research,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JFI3,JFIR,,The Journal of Financial Research (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JFL,JFL,JFBC,Journal of Food Lipids,M-Merged,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFL2,JFL,JFBC,Journal of Food Lipids (Electronic),M-Merged,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFN,JFN,,Journal of Forensic Nursing,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JFN2,JFN,,Journal of Forensic Nursing (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JFO,JFO,,Journal of Forensic Sciences,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JFOR,JFOR,,Journal fur Ornithologie,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFO2,JFO,,Journal of Forensic Sciences (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JFO3,JFOR,,Journal fur Ornithologie,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFPE,JFPE,,Journal of Food Process Engineering,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFPP,JFPP,,Journal of Food Processing and Preservation,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFP3,JFPE,,Journal of Food Process Engineering (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFP4,JFPP,,Journal of Food Processing and Preservation       (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFQ,JFQ,,Journal of Food Quality,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFQ2,JFQ,,Journal of Food Quality (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFRM,JFRM,,Journal of Flood Risk Management,A-Abandoned,STMS Life Sciences,Life Sci,,,,,,,,,,,,J-Joint Owned,,,,
JFR3,JFR3,,Journal of Flood Risk Management,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,J-Joint Owned,,,,
JFS,JFS,JFS,Journal of Food Safety,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFS2,JFS,JFS,Journal of Food Safety (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JFS3,JFS3,,Journal of Food Science Education,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JFTR,JFTR,JOMF,Journal of Family Theory & Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JFT3,JFTR,JOMF,Journal of Family Theory & Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JFT4,JOFT,,Journal of Family Therapy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JGC4,JGC4,JGC4,Journal of Genetic Counseling,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGE,JGE,,Journal of the Geological Society,A-Abandoned,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JGF2,JGF2,,Journal of General and Family Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JGH,JGH,,Journal of Gastroenterology and Hepatology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
JGH2,JGH,,Journal of Gastroenterology and Hepatology        (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
JGH3,JGH3,,JGH Open,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
JGI,JGI,,Journal of General Internal Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JGI2,JGI,,Journal of General Internal Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JGM,JGM,,The Journal of Gene Medicine,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JGM2,JGM,,The Journal of Gene Medicine                       (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JGR,JGR,JGR-AG,Journal of Geophysical Research,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGRA,JGRA,JGR-AG,Journal of Geophysical Research: Space Physics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGRB,JGRB,JGR-AG,Journal of Geophysical Research: Solid Earth,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGRC,JGRC,JGR-AG,Journal of Geophysical Research: Oceans,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGRD,JGRD,JGR-AG,Journal of Geophysical Research: Atmospheres,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGRE,JGRE,JGR-AG,Journal of Geophysical Research: Planets,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGRF,JGRF,JGR-AG,Journal of Geophysical Research: Earth Surface,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGRG,JGRG,JGR-AG,Journal of Geophysical Research: Biogeosciences,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR2,JGR,JGR-AG,Journal of Geophysical Research (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR3,JGRA,JGR-AG,Journal of Geophysical Research: Space Physics    (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR4,JGRB,JGR-AG,Journal of Geophysical Research: Solid Earth      (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR5,JGRC,JGR-AG,Journal of Geophysical Research: Oceans           (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR6,JGRD,JGR-AG,Journal of Geophysical Research: Atmospheres      (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR7,JGRE,JGR-AG,Journal of Geophysical Research: Planets          (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR8,JGRF,JGR-AG,Journal of Geophysical Research: Earth Surface    (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGR9,JGRG,JGR-AG,Journal of Geophysical Research: Biogeosciences   (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JGS,JGS,,Journal of American Geriatrics Society,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JGS2,JGS,,Journal of American Geriatrics Society            (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JGT,JGT,,Journal of Graph Theory,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JGT2,JGT,,Journal of Graph Theory (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JHA2,JHA2,JHA2,eJHaem,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
JHBP,JHBP,,Journal of Hepato-Biliary-Pancreatic Sciences,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHBS,JHBS,,Journal of The History of the Behavioral Sciences,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JHB3,JHBS,,Journal of The History of the Behavioral Sciences  (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JHB4,JHBP,,Journal of Hepato-Biliary-Pancreatic Sciences     (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHC,JHC,,Journal of the Hong Kong College of Cardiology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHE,JHE,,Journal of Hepatology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHET,JHET,,Journal of Heterocyclic Chemistry,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JHE3,JHET,,Journal of Heterocyclic Chemistry                  (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JHIS,JHIS,,The Journal of the Historical Society,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JHI3,JHIS,,The Journal of the Historical Society,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JHM,JHM,,Journal of Hospital Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHM2,JHM,,Journal of Hospital Medicine                       (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHN,JHN,,Journal of Human Nutrition & Dietetics,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHN2,JHN,,Journal of Human Nutrition & Dietetics            (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHQ,JHQ,JHQ,Journal for Healthcare Quality,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JHRM,JHRM,,Journal of Healthcare Risk Management,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JHR3,JHRM,,Journal of Healthcare Risk Management              (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JH2,JHQ,JHQ,Journal for Healthcare Quality                     (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JIA,JIA2,JIA2,Journal of the International AIDS Society,P-Current publication,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
JIA2,JIA2,JIA2,Journal of the International AIDS Society,P-Current publication,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
JIB,JIB,,Journal of the Institute of Brewing,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JIB4,JIB,,Journal of the Institute of Brewing (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JIC,JIC,,Journal of Intensive Care Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JICD,JICD,,Journal of Investigative and Clinical Dentistry,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JIC2,JIC,,Journal of Intensive Care Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JIC3,JICD,,Journal of Investigative and Clinical Dentistry    (Electronic),T-To be ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JID,JID,,Journal of International Development,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JIDE,JIDE,,Journal of Investigative Dermatology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JID2,JID,,Journal of International Development               (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JID3,JIDE,,Journal of Investigative Dermatology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JIEC,JIEC,,Journal of Industrial Ecology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JIE3,JIEC,,Journal of Industrial Ecology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JIFM,JIFM,,Journal of International Financial Management &    Accounting,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JIF3,JIFM,,Journal of International Financial Management &   Accounting (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JIM,JIM,,Journal of International Management,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JIMD,JIMD,JIMD,Journal of Inherited Metabolic Disease,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JIM2,JIMD,JIMD,Journal of Inherited Metabolic Disease,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JIN2,JIN2,,Journal of Interdisciplinary Nanomedicine,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,J-Joint Owned,,,,
JIN3,JOIR,,Journal of Industrial Relations,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JIP,JIP,,Journal of Investigative Psychology and Offender   Profiling,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JIPB,JIPB,,Journal of Integrative Plant Biology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JIP2,JIP,,Journal of Investigative Psychology and Offender   Profiling (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JIP3,JIPB,,Journal of Integrative Plant Biology              (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JIR,JIR,,Journal of Intellectual Disability Research,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JIR2,JIR,,Journal of Intellectual Disability Research       (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JJA,JJA2,,Nihon Kyukyu Igakukai Zasshi: Journal of Japanese Association for Acute Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JJA2,JJA2,,Nihon Kyukyu Igakukai Zasshi: Journal of Japanese Association for Acute Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JJNS,JJNS,,Japan Journal of Nursing Science,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JJN3,JJNS,,Japan Journal of Nursing Science (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JLB,JLB,,Journal of Leukocyte Biology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JLB2,JLB,,Journal of Leukocyte Biology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JLCR,JLC,,Journal of Labelled Compounds and                  Radiopharmaceuticals,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JLCA,JLCA,,Journal of Latin American & Caribbean Anthropology,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLCD,JLCD,,International Journal of Language & Communication  Disorders,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLC2,JLC,,Journal of Labelled Compounds and                  Radiopharmaceuticals (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JLC3,JLCA,,Journal of Latin American & Caribbean Anthropology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLC4,JLCD,,International Journal of Language & Communication  Disorders (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLEU,JLEU,,Journal of Leukocyte Biology - Old Version see JLB,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JLG,JLG,,Journal of Lower Genital Tract Disease,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JLG2,JLG,,Journal of Lower Genital Tract Disease,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JLM,JLM,,International Journal of Land Management,A-Abandoned,PD Technology,,,,,,,,,,,,,-,,,,
JLME,JLME,,"The Journal of Law, Medicine & Ethics",S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLMS,JLMS,,Journal of the London Mathematical Society,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JLM3,JLME,,"The Journal of Law, Medicine & Ethics",S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLM4,JLMS,,Journal of the London Mathematical Society,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JLS,JLS,,Journal of Leadership Studies,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLSE,JLSE,ABLJ,Journal of Legal Studies Education,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLS2,JLS,,Journal of Leadership Studies                      (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JLS3,JLSE,ABLJ,Journal of Legal Studies Education (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JMCB,JMCB,,"Journal of Money, Credit and Banking",P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JMCD,JMCD,,Journal of Multicultural Counseling and           Development,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JMC3,JMCB,,"Journal of Money, Credit and Banking (Electronic)",P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JMC4,JMCD,,Journal of Multicultural Counseling and           Development (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JMD2,JMD2,JMD2,JIMD Reports,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JME,JME,AMO,Jnl of Molecular Electronics,M-Merged,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMF,JMF,,Journal of Muscle Foods,C-Ceased,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMFT,JMFT,,Journal of Marital and Family Therapy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JMF2,JMF,,Journal of Muscle Foods (Electronic),C-Ceased,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMF3,JMFT,,Journal of Marital and Family Therapy             (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JMG,JMG,,Journal of Metamorphic Geology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMG2,JMG,,Journal of Metamorphic Geology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMI,JMI,JMI,Journal of Microscopy,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JMI2,JMI,JMI,Journal of Microscopy (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
JMOR,JMOR,,Journal of Morphology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMO3,JMOR,,Journal of Morphology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMP,JMP,,Journal of Medical Primatology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMPL,JMPL,,Journal of Medical Primatology                    Duplicate (SEE JMP),A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMP2,JMP,,Journal of Medical Primatology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMP3,JMP3,,Geomagnetism and Paleomagnetism/Marine Geology    and Geophysics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JMR,JMR,,Journal of Molecular Recognition,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMRI,JMRI,,Journal of Magnetic Resonance Imaging,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JMRS,JMRS,,Journal of Medical Radiation Sciences,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JMR2,JMR,,Journal of Molecular Recognition                   (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMR3,JMRI,,Journal of Magnetic Resonance Imaging              (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JMR4,JMRS,,Journal of Medical Radiation Sciences             (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JMS,JMS,JMS,Journal of Mass Spectrometry  (Incorp Biological   Mass Spectrometry),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMS2,JMS,JMS,Journal of Mass Spectrometry  (Incorp Biological   Mass Spectrometry) (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMV,JMV,,Journal of Medical Virology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JMV2,JMV,,Journal of Medical Virology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
