Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
WSF2,WSF2,,Wiley Interdisciplinary Reviews: Forensic Science - Setup in ERROR - Please see WFS2,A-Abandoned,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WSU,WSU,,Water Supply,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
WSU2,WSU,,Water Supply,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
WUB,WUB,,Wasser und Boden,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WUB2,WUB,,Wasser und Boden,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WUSA,WUSA,,Journal of Labor and Society,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
WUS3,WUSA,,Journal of Labor and Society,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
WVN,WVN,,Worldviews on Evidence-Based Nursing,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
WVN2,WVN,,Worldviews on Evidence-Based Nursing              (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
WWP2,WWP2,WWP2,World Water Policy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
XEN,XEN,,Xenotransplantation,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
XEN2,XEN,,Xenotransplantation (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
XRS,XRS,,X-Ray Spectrometry,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
XRS2,XRS,,X-Ray Spectrometry (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
YAN2,YAN2,,AnthroSource,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
YBW2,YBW2,,BloodMed (Electronic),I-Info Only,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
YD,YD,,New Directions for Student Leadership,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
YD2,YD,,New Directions for Student Leadership,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
